iter	Passed	Remaining
0	0	92
1	1	86
2	2	81
3	3	74
4	3	74
5	4	72
6	5	71
7	6	70
8	6	69
9	7	68
10	8	67
11	9	66
12	9	65
13	10	64
14	11	63
15	12	63
16	12	62
17	13	61
18	14	61
19	15	61
20	16	60
21	16	59
22	17	59
23	18	58
24	19	57
25	19	56
26	20	55
27	21	54
28	22	53
29	22	53
30	23	52
31	24	51
32	24	50
33	25	49
34	26	49
35	27	48
36	27	47
37	28	46
38	29	46
39	30	45
40	30	44
41	31	43
42	31	42
43	32	41
44	33	40
45	34	39
46	34	39
47	35	38
48	36	37
49	36	36
50	37	36
51	38	35
52	39	34
53	39	33
54	40	33
55	41	32
56	41	31
57	42	30
58	43	30
59	44	29
60	44	28
61	45	28
62	46	27
63	47	26
64	48	25
65	48	25
66	49	24
67	50	23
68	50	22
69	51	22
70	52	21
71	53	20
72	53	19
73	54	19
74	55	18
75	56	17
76	56	16
77	57	16
78	58	15
79	59	14
80	60	14
81	60	13
82	61	12
83	62	11
84	63	11
85	63	10
86	64	9
87	65	8
88	66	8
89	66	7
90	67	6
91	68	5
92	69	5
93	70	4
94	70	3
95	71	2
96	72	2
97	73	1
98	73	0
99	74	0
