iter	Passed	Remaining
0	135	135491
1	138	68984
2	139	46499
3	141	35210
4	143	28468
5	144	23964
6	146	20823
7	148	18413
8	149	16497
9	151	14959
10	152	13689
11	153	12615
12	154	11718
13	155	10930
14	156	10245
15	156	9641
16	157	9105
17	158	8639
18	159	8222
19	160	7840
20	160	7487
21	161	7165
22	161	6869
23	162	6598
24	162	6347
25	163	6115
26	163	5900
27	164	5700
28	164	5512
29	165	5338
30	165	5176
31	166	5026
32	166	4884
33	167	4748
34	167	4620
35	168	4500
36	168	4386
37	169	4278
38	169	4176
39	169	4078
40	170	3985
41	170	3896
42	171	3812
43	171	3732
44	172	3658
45	172	3586
46	173	3516
47	173	3449
48	174	3389
49	175	3328
50	175	3268
51	176	3210
52	176	3154
53	177	3101
54	177	3049
55	177	3000
56	178	2952
57	178	2906
58	179	2861
59	179	2817
60	180	2775
61	180	2737
62	181	2699
63	181	2661
64	182	2624
65	182	2588
66	183	2553
67	183	2519
68	184	2486
69	184	2454
70	185	2422
71	185	2394
72	186	2365
73	186	2337
74	187	2310
75	187	2283
76	188	2257
77	189	2235
78	189	2211
79	190	2187
80	190	2163
81	191	2140
82	191	2115
83	192	2094
84	192	2073
85	193	2052
86	193	2032
87	194	2012
88	194	1994
89	195	1976
90	196	1957
91	196	1939
92	197	1921
93	197	1904
94	198	1887
95	198	1870
96	199	1853
97	199	1838
98	200	1824
99	201	1809
100	201	1794
101	202	1779
102	202	1765
103	203	1750
104	204	1739
105	204	1728
106	205	1714
107	206	1701
108	206	1688
109	207	1675
110	207	1663
111	208	1650
112	208	1638
113	209	1626
114	209	1614
115	210	1602
116	210	1590
117	211	1580
118	211	1569
119	212	1558
120	213	1548
121	213	1537
122	214	1527
123	214	1516
124	215	1506
125	215	1496
126	216	1485
127	216	1476
128	217	1466
129	217	1457
130	218	1448
131	219	1440
132	219	1431
133	220	1422
134	220	1414
135	221	1405
136	221	1396
137	222	1388
138	222	1380
139	223	1371
140	223	1363
141	224	1355
142	224	1347
143	225	1340
144	226	1332
145	226	1325
146	227	1319
147	227	1311
148	228	1304
149	228	1297
150	229	1290
151	229	1283
152	230	1276
153	231	1270
154	231	1263
155	232	1256
156	232	1250
157	233	1243
158	234	1238
159	234	1232
160	235	1225
161	235	1219
162	236	1213
163	236	1206
164	237	1203
165	238	1197
166	238	1191
167	239	1186
168	240	1181
169	240	1175
170	241	1169
171	241	1164
172	242	1158
173	242	1153
174	243	1147
175	244	1142
176	244	1137
177	245	1131
178	245	1126
179	246	1121
180	246	1116
181	247	1111
182	247	1106
183	248	1101
184	248	1096
185	249	1092
186	250	1088
187	250	1083
188	251	1078
189	251	1073
190	252	1069
191	252	1064
192	253	1059
193	253	1055
194	254	1050
195	255	1046
196	255	1041
197	256	1039
198	257	1034
199	257	1030
200	258	1026
201	258	1021
202	259	1017
203	259	1013
204	260	1009
205	260	1005
206	261	1001
207	261	997
208	262	993
209	263	989
210	263	985
211	264	981
212	264	978
213	265	974
214	265	970
215	266	966
216	266	963
217	267	959
218	267	955
219	268	952
220	269	948
221	269	945
222	270	942
223	271	940
224	271	936
225	272	933
226	273	929
227	273	926
228	274	922
229	274	919
230	275	915
231	275	912
232	276	909
233	276	906
234	277	902
235	277	899
236	278	896
237	279	893
238	279	890
239	280	887
240	280	883
241	281	880
242	281	877
243	282	874
244	282	871
245	283	868
246	284	866
247	284	863
248	285	861
249	286	858
250	286	856
251	287	853
252	287	850
253	288	847
254	289	844
255	289	841
256	290	838
257	290	835
258	291	832
259	291	829
260	292	827
261	292	824
262	293	821
263	293	819
264	294	816
265	295	814
266	295	811
267	296	809
268	296	806
269	297	804
270	297	801
271	298	799
272	299	796
273	299	794
274	300	791
275	300	789
276	301	786
277	302	784
278	302	782
279	303	779
280	303	777
281	304	774
282	304	772
283	305	769
284	305	767
285	306	764
286	306	762
287	307	759
288	308	758
289	308	755
290	309	753
291	309	751
292	310	749
293	310	746
294	311	744
295	312	743
296	313	741
297	313	739
298	314	737
299	315	735
300	315	732
301	316	730
302	316	728
303	317	726
304	317	724
305	318	722
306	318	719
307	319	717
308	319	715
309	320	713
310	321	711
311	321	709
312	322	707
313	322	705
314	323	702
315	323	701
316	324	699
317	325	697
318	325	695
319	326	694
320	327	692
321	327	690
322	328	688
323	329	686
324	329	685
325	330	683
326	331	681
327	331	679
328	332	677
329	332	675
330	333	673
331	333	671
332	334	670
333	335	668
334	335	666
335	336	664
336	336	662
337	337	660
338	338	659
339	338	657
340	339	656
341	340	654
342	340	652
343	341	651
344	342	649
345	342	648
346	343	646
347	344	644
348	344	643
349	345	641
350	346	639
351	347	639
352	347	637
353	348	636
354	349	634
355	349	632
356	350	630
357	350	628
358	351	627
359	351	625
360	352	623
361	352	622
362	353	620
363	354	619
364	355	617
365	355	616
366	356	614
367	356	612
368	357	611
369	357	609
370	358	607
371	358	606
372	359	604
373	360	602
374	360	601
375	361	600
376	362	598
377	362	596
378	363	595
379	363	593
380	364	591
381	364	590
382	365	588
383	365	586
384	366	585
385	366	583
386	367	582
387	368	580
388	368	579
389	369	578
390	370	576
391	370	575
392	371	573
393	371	571
394	372	570
395	372	568
396	373	567
397	374	565
398	374	564
399	375	563
400	376	561
401	376	560
402	377	558
403	377	557
404	378	555
405	378	554
406	379	552
407	379	551
408	380	549
409	380	548
410	381	546
411	382	545
412	382	543
413	383	542
414	384	541
415	384	540
416	385	538
417	386	537
418	386	536
419	387	534
420	387	533
421	388	532
422	388	530
423	389	529
424	390	527
425	390	526
426	391	525
427	391	523
428	392	522
429	393	520
430	393	519
431	394	518
432	394	516
433	395	515
434	395	513
435	396	512
436	397	511
437	397	510
438	398	509
439	399	508
440	400	507
441	400	506
442	401	504
443	402	503
444	402	502
445	403	500
446	403	499
447	404	498
448	405	497
449	405	495
450	406	494
451	406	493
452	407	492
453	408	490
454	408	489
455	409	488
456	409	487
457	410	486
458	411	485
459	412	483
460	412	482
461	413	481
462	414	480
463	414	479
464	415	477
465	415	476
466	416	475
467	417	474
468	418	473
469	418	471
470	419	470
471	420	469
472	420	468
473	421	467
474	421	466
475	422	464
476	422	463
477	424	463
478	424	462
479	425	460
480	425	459
481	426	458
482	427	457
483	427	455
484	428	455
485	429	454
486	429	452
487	430	451
488	431	450
489	431	449
490	432	448
491	432	446
492	433	445
493	434	444
494	434	443
495	435	442
496	435	441
497	436	440
498	437	439
499	438	438
500	438	437
501	439	436
502	440	434
503	440	433
504	441	432
505	442	431
506	443	431
507	444	430
508	445	429
509	445	428
510	446	427
511	447	426
512	447	425
513	448	424
514	449	423
515	450	422
516	451	422
517	452	421
518	453	419
519	453	418
520	454	417
521	455	416
522	455	415
523	456	414
524	457	413
525	458	413
526	459	412
527	460	411
528	460	410
529	461	409
530	462	408
531	462	407
532	465	407
533	466	407
534	467	405
535	467	404
536	468	403
537	469	402
538	469	401
539	470	400
540	470	399
541	471	398
